"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тестирование Pokemon API","проверка списка покемонов","проверка списка покемонов","0","0","1","0","0"
"Тестирование Pokemon API","сравнение покемонов","сравнение покемонов rattata и pidgeotto","0","0","1","0","0"
