"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 17:30:52 GMT 2023","Thu Apr 06 17:30:56 GMT 2023","3117","","tests.ApiTest","","tests.ApiTest","checkPokemonList","checkPokemonList()",""
"passed","Thu Apr 06 17:30:52 GMT 2023","Thu Apr 06 17:30:56 GMT 2023","3283","","tests.ApiTest","","tests.ApiTest","comparison","comparison()",""
